GREENHOUSE GAS SOURCE AND SINK CATEGORIES,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total actual emissions of halocarbons (by chemical) and SF6,0.03474445964753,0.06867313266454,0.11745333058319,0.26321205493118,1.75763267296162,7.83841797123126,21.52360178051303,45.48008764214953,79.74340594286762,125.02832051099395,164.66762497195293,224.2842557893353,269.0495666300748,331.10433321064767,397.2368685287536,463.05237548286397,592.2431819558856,630.1871987086602,700.678004004655,761.4948947314595,853.2242626286245,941.8659307367004,1028.5730906133467,1096.6346436166762,1133.8907041260552,1159.499487931439,1194.7062110642971,1215.9239963274993,1208.71621163314,1178.4990766076376,1135.338623492883
B.   Chemical industry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.869328125,NaN,NaN,NaN,NaN,59.551825,22.15511,20.1,12.1,22.09,21.322,14.9058,9.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9. Flurochemical production,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.869328125,NaN,NaN,NaN,NaN,59.551825,22.15511,20.1,12.1,22.09,21.322,14.9058,9.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
By-product emissions,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.869328125,NaN,NaN,NaN,NaN,59.551825,22.15511,20.1,12.1,22.09,21.322,14.9058,9.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fugitive emissions,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10. Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C.   Metal industry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3. Aluminium production,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4. Magnesium production,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7. Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E.  Electronics industry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.  Integrated circuit or semiconductor,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.  TFT flat panel display,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.  Photovoltaics,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.  Heat transfer fluid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.  Other (as specified in table 2(II)),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F.  Product uses as substitutes for ODS(2),0.03474445964753,0.06867313266454,0.11745333058319,0.26321205493118,1.75763267296162,7.83841797123126,21.52360178051303,45.48008764214953,79.74340594286762,125.02832051099395,164.66762497195293,209.4149276643353,269.0495666300748,331.10433321064767,397.2368685287536,463.05237548286397,532.6913569558856,608.0320887086601,680.578004004655,749.3948947314594,831.1342626286245,920.5439307367004,1013.6672906133467,1087.1946436166763,1133.8907041260552,1159.499487931439,1194.7062110642971,1215.9239963274993,1208.71621163314,1178.4990766076376,1135.338623492883
1.  Refrigeration and air conditioning,NaN,NaN,NaN,NaN,0.59658344718632,5.40215913846406,17.38460366632273,39.00080913167016,70.60079965465124,109.18058053728964,150.71607014172022,196.02050248094525,250.26753702180594,312.47431375308537,379.13713118027516,449.75985874473577,524.6174175740776,601.327882701721,674.0601287134983,743.4940110700666,824.1789798735152,915.7128394109664,1009.027372987942,1082.8364025290332,1128.5598427312123,1153.6614209443283,1187.9282824327074,1208.9331047045407,1202.4278778730952,1172.1533662877177,1130.3571369315084
2.  Foam blowing agents,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.  Fire protection,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.  Aerosols,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.  Solvents,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.  Other applications,0.03474445964753,0.06867313266454,0.11745333058319,0.26321205493118,1.1610492257753,2.4362588327672,4.1389981141903,6.47927851047937,9.14260628821639,15.8477399737043,13.9515548302327,13.39442518339006,18.7820296082689,18.63001945756227,18.09973734847839,13.2925167381282,8.07393938180788,6.70420600693906,6.51787529115671,5.90088366139295,6.95528275510926,4.83109132573407,4.63991762540477,4.35824108764303,5.33086139484295,5.83806698711067,6.77792863158973,6.99089162295854,6.28833376004473,6.34571031991987,4.98148656137464
G.  Other product manufacture and use,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.  Electrical equipment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.  SF6 and PFCs from other product use,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.  Other ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
