GREENHOUSE GAS SOURCE AND SINK CATEGORIES,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total actual emissions of halocarbons (by chemical) and SF6,6.44621624241762,17.77980646964586,34.80689355122809,160.93671937694856,368.48353235289653,584.0006246649937,830.3496868965465,1072.304261003302,1369.308514467966,1676.7370749997008,1971.487005692661,2291.7551025060875,2492.1987315650795,2697.619929215787,2890.98748700132,3143.4605316629127,3361.7372595589945,3478.2077954622796,3561.514620488584,3660.7208133236636,3750.9335195471667,3865.525868589226,4014.2621065425315,4126.1255311098075,4177.751569100593,4183.384328899798,4163.563204062384,4110.435564737464,3995.293920708336,3739.2801299813354,3409.9702549514113
B.   Chemical industry,0.78916717118217,0.80788255461131,1.00204444041382,2.10139814576377,12.2160805777077,20.3965257164319,27.7054840118965,36.42626316371459,44.3642,48.4664,46.06102,38.2016037,63.41853440000001,83.12456399999999,65.987916,82.5533168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9. Flurochemical production,0.78916717118217,0.80788255461131,1.00204444041382,2.10139814576377,12.2160805777077,20.3965257164319,27.7054840118965,36.42626316371459,44.3642,48.4664,46.06102,38.2016037,63.41853440000001,83.12456399999999,65.987916,82.5533168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
By-product emissions,0.78916717118217,0.80788255461131,1.00204444041382,2.10139814576377,12.2160805777077,20.3965257164319,27.7054840118965,36.42626316371459,44.3642,48.4664,46.06102,38.2016037,63.41853440000001,83.12456399999999,65.987916,82.5533168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fugitive emissions,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10. Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C.   Metal industry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.036,2.0472,2.0926,2.027,1.6286,1.8274,1.5628,1.5978,1.5394,1.6,2.6518,1.7012,1.032
3. Aluminium production,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4. Magnesium production,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.036,2.0472,2.0926,2.027,1.6286,1.8274,1.5628,1.5978,1.5394,1.6,2.6518,1.7012,1.032
7. Other,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E.  Electronics industry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
