GREENHOUSE GAS SOURCE AND SINK CATEGORIES,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1.  Integrated circuit or semiconductor,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.  TFT flat panel display,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.  Photovoltaics,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.  Heat transfer fluid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.  Other (as specified in table 2(II)),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F.  Product uses as substitutes for ODS(2),5.65704907123545,16.97192391503455,33.80484911081427,158.8353212311848,356.2674517751889,563.6040989485617,802.64420288465,1035.8779978395874,1324.944314467966,1628.2706749997008,1925.4259856926608,2253.5534988060876,2428.7801971650792,2614.4953652157874,2824.99957100132,3060.9072148629125,3361.7372595589945,3478.2077954622796,3557.478620488584,3658.6736133236636,3748.840919547167,3863.498868589226,4012.6335065425314,4124.298131109807,4176.188769100593,4181.786528899798,4162.023804062384,4108.835564737464,3992.642120708336,3737.5789299813355,3408.9382549514116
1.  Refrigeration and air conditioning,5.65704907123545,16.82598193698513,33.48538529129812,53.33419679080567,78.69727171680564,111.79918001671355,155.31082264166722,212.37392134281527,284.61968669157017,372.64554494211745,484.88240420563034,616.7494819791174,770.1839455534353,939.7499180137938,1121.7442668268347,1322.083989905493,1529.9438239739602,1732.3708939921987,1924.907348429512,2108.6502761838,2294.7747348670946,2485.613490670546,2660.3339031895684,2795.121837833257,2874.692894098432,2903.695395541049,2916.271461550269,2896.157478501575,2831.653711345007,2731.8979438279403,2619.6191938279403
2.  Foam blowing agents,NaN,NaN,NaN,43.03543860996,86.06396961888,129.10401751716,172.22998117391998,145.84797941489998,120.11338425822575,96.52119511578343,74.0946474433875,84.32268689785008,102.56373421045491,140.64823725398472,145.19925244026354,146.9941108625549,152.10514810147916,157.15927176166193,126.1434023358295,77.35055481452953,81.4201226040141,85.17260437663552,88.6203952619797,91.72392422081361,96.59853266213504,101.50232522503063,106.36797332404946,111.34033909754385,116.41076807834693,100.78574577906997,83.81640359777998
3.  Fire protection,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.  Aerosols,NaN,NaN,NaN,61.74332954833334,185.5372357636948,312.09833805398307,460.49233451515886,658.2232607436011,895.5902559001472,1128.728421570185,1330.49111179722,1511.4863282378726,1514.1991296434664,1492.0045066141847,1516.4005804007477,1553.6251710102517,1625.945304023358,1539.9142151877868,1478.8426602984587,1446.6461707817043,1350.0391486426065,1276.68824411674,1244.419742072311,1218.5798824003357,1185.6444109455852,1157.1625529936155,1121.8513856410952,1080.8758002615402,1024.1617957365227,886.7763310850437,692.4016889250438
5.  Solvents,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.  Other applications,NaN,0.14594197804942,0.31946381951615,0.72235628208578,5.96897467580839,10.60256336070517,14.61106455390395,19.432836338271,24.62098761802295,30.37551337161499,35.95782224642299,40.99500169124759,41.8333877577228,42.09270333382384,41.65547133347388,38.20394308461313,53.74298346019717,48.76341452063204,27.58520942478385,26.0266115436294,22.60691343345153,16.02452942530384,19.25946601867251,18.87248665540143,19.2529313944407,19.42625514010303,17.53298354697021,20.46194687680496,20.4158455484594,18.11890928928166,13.10096860064752
G.  Other product manufacture and use,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.  Electrical equipment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.  SF6 and PFCs from other product use,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.  Other ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H.   Other (please specify),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.H.1  Pulp and paper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.H.2  Food and beverages industry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
